,sentence,label
11374,Ur TONEXS subscription has been renewed and you have been charged å£4.50. You can choose 10 more polys this month. www.clubzed.co.uk *BILLING MSG*,0
7287,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,0
6691,But many of these programs struggle due to the lack of reliable addressing.,1
2086,"Saima Duhare is the founder of Halal Fresh, the UK’s first halal non subscription meal kit service predominantly catering for the Muslim community.",1
12153,Haven't left yet so probably gonna be here til dinner,0
9821,ROMCAPspam Everyone around should be responding well to your presence since you are so warm and outgoing. You are bringing in a real breath of sunshine.,0
7605,TaKe CaRE n gET WeLL sOOn,0
1689,Meet the team and learn from the entrepreneurial community,1
1467,For me personally I am looking at bootstrapping my business as far as I can without trying to get outside influence,1
2943,What we look for when recruiting:,1
1910,"Not realising that we could build a really good profitable business , as well as create awesome social impact, sooner",1
4326,Companies like SeedLegals offering Agile Funding solutions that enable founders to take on smaller tranches of funding in a much more fluid and ongoing manner than if they were completing a larger round – see here:,1
6237,There is a number of reasons for this including:,1
5556,"SeedTribe uses the UN Sustainable Development Goals (“SDGs”)  as its impact framework with all businesses on the platform at Stage 1, raising up to £1M and driving revenue",1
5381,"While fashion and beauty remains the fourth most popular category for pitch ideas, it is just 17th on the list for investors",1
2663,"For investors this is an immediate piece of feedback that if a founder can behave in this way addressing the Almost Now, then they are likely to be more adept and agile to work with when going forward.",1
9378,"Hi, Mobile no.  &lt;#&gt;  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com",0
6834,Jobbio – Careers marketplace & talent matching,1
669,Encouragingly for the businesses on the platform there is also more investor activity than ever with a record number of connections made despite the unfortunate circumstances this year.,1
5617,powered chatbot that can deliver entrepreneurial education to kids at scale through a native mobile app.,1
11786,ÌÏ thk of wat to eat tonight.,0
4620,"We are a large community, we have some really strong numbers",1
7874,Talk With Yourself Atleast Once In A Day...!!! Otherwise You Will Miss Your Best FRIEND In This WORLD...!!! -Shakespeare- SHESIL  &lt;#&gt;,0
10809,"Aight, can you text me the address?",0
8680,Okay... We wait ah,0
9023,Is there any movie theatre i can go to and watch unlimited movies and just pay once?,0
6331,"the real problem is not plastic, but our attitude towards it.",1
306,"It is based on the data of more than 125,000 UK registered businesses looking for funding and 35,000 UK investors over the course of 2020.",1
11273,Ball is moving a lot.will spin in last :)so very difficult to bat:),0
3318,It showed us that there was demand at a corporate level.,1
11737,I bought the test yesterday. Its something that lets you know the exact day u ovulate.when will get 2u in about 2 to 3wks. But pls pls dont fret. I know u r worried. Pls relax. Also is there anything in ur past history u need to tell me?,0
2087,What does your company do?,1
8021,Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394514 From Landline DATEBox1282EssexCM61XN 150p/min 18,0
8660,No just send to you. Bec you in temple na.,0
293,"Having no experience in opening a business I have made lots of mistakes, but  one of them for instance, when we had our soft launch I spent £6,000 to test the model on 40 people, in hindsight I could have tested the model on 20 people and tested it for much less.",1
11256,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,0
10670,Yup. Thk of u oso boring wat.,0
8608,Are your freezing ? Are you home yet ? Will you remember to kiss your mom in the morning? Do you love me ? Do you think of me ? Are you missing me yet ?,0
10870,Yeah my usual guy's out of town but there're definitely people around I know,0
470, Investment activity has rapidly obtained new momentum.,1
6517,Your DD questions will vary according to the type of business you are evaluating,1
7879,U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08,0
4835,Olivia Sibony contributed an article for the latest issue of CEO Today magazine on some research from the AIN platform that points to the continued interest investors have in sustainable startups,1
3434,Angel Investment Network has revealed its latest ‘State of the Angel Investment Nation’ findings,1
6792,We will also be encouraging people to promote their films on the platform which will drive traffic to the site,1
9920,"Yo, any way we could pick something up tonight?",0
4038,"We now know if we are theoretically able to get our hands on a big enough and robust enough data set for a given illness, we can make significant steps towards diagnosing it more effectively (with the caveat that our understanding of the causes isn’t too siloed)",1
7811,So there's a ring that comes with the guys costumes. It's there so they can gift their future yowifes. Hint hint,0
6990,"On the other hand, your reach would have been limited to your network",1
11594,Yo sorry was in the shower sup,0
9092,"Oh, my love, it's soooo good to hear from you. Omg I missed you so much today. I'm sorry your having problems with the provider but thank you for tming me",0
6082,Ask yourself the following questions:,1
3424,We knew we were onto something when:,1
6181,"For an established business that has a trading history and which can show assets (that have value) on the balance sheet, finance secured on those assets can be an option to raise funding for growth, without giving away equity.",1
9628,Haha... They cant what... At the most tmr forfeit... haha so how?,0
8804,The bus leaves at  &lt;#&gt; ,0
2060,"Switching to being an entrepreneur, seemed a natural next step for Julian after his job in M&A, working in emerging markets, he learned where there were exciting opportunities",1
5892,"The team at flypop also intend to make the airline carbon neutral, offsetting each passenger that flies with the planting of a tree in a forest in the UK or South Asia.",1
10494,"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text",0
960,Why did you choose to use Angel Investment Network?,1
7055,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,0
6823,"So, we spent the last year reaching out to some of the most highly-reputed companies in their spaces",1
409,"When I moved to the Philippines I wasn’t used to using refillable water bottles for drinking water, as everyone does here",1
2308,It’s crazy to remember that there was about a dozen of us occupying half of the 5th floor of a Slough office block!  I was lucky to launch thousands of merchants across the full range of categories and products over 6 years.,1
1538,Spending time marketing to cities where Tendo can’t have a repeatable physical presence.,1
5341,Customers can also purchase additional services.,1
10924,As if i wasn't having enough trouble sleeping.,0
9379,"Good evening Sir, hope you are having a nice day. I wanted to bring it to your notice that I have been late in paying rent for the past few months and have had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thank you for everything.",0
12372,"Ok., is any problem to u frm him? Wats matter?",0
9456,Onum ela pa. Normal than.,0
9677,Where in abj are you serving. Are you staying with dad or alone.,0
538,"I already knew we were fixing a big problem but when investors tell me that we could be creating a unicorn business here in the UK, during a global pandemic, I feel incredibly inspired to push the business even harder and solve problems",1
5172,Persevere and adapt where necessary,1
6216,"AI, drones and autonomous vehicles are just some examples of technologies giving regulators pause for thought",1
12483,So li hai... Me bored now da lecturer repeating last weeks stuff waste time... ,0
5018,We felt frustrated at the compromise between style and practically in women’s rainwear,1
1238,We had just started a new fundraise when COVID19 hit and have seen a slow down in response and interest,1
3229,We’ve been turning the video on more often for internal calls – it’s just nice to see another human sometimes –  and been buoyed by some funny memes on our #random Slack channel,1
6936,The platform connects with employers with students and graduates,1
2530,Online community is increasingly important to promulgate this sector,1
1486,"Customers can book barbers to come to their home, office, a hotel or where ever they may be",1
10927,Babe ? I lost you ... Will you try rebooting ?,0
9328,That day you asked about anand number. Why:-),0
10898,ÌÏ mean it's confirmed... I tot they juz say oni... Ok then... ,0
2409,"As a founder, this not only gives you much needed cash, but also time to grow the valuation to a point where you and your investors are both happy.",1
11540,Hiya. How was last night? I've been naughty and bought myself clothes and very little ... Ready for more shopping tho! What kind of time do you wanna meet?,0
8204,WIN a year supply of CDs 4 a store of ur choice worth å£500 & enter our å£100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3,0
10106,Hi. Happy New Year. I dont mean to intrude but can you pls let me know how much tuition you paid last semester and how much this semester is. Thanks,0
11703,Yar but they say got some error.,0
8599,"Yeah probably, I still gotta check out with leo",0
11493,Man this bus is so so so slow. I think you're gonna get there before me,0
6090,"An equity investor is predominantly motivated by aggressive growth, for a return on their investment",1
2719,How can people get involved?,1
5416,"Although our research suggested that over 50% of SMEs are affected invoice fraud, when we went out and spoke to people, we discovered that awareness levels were relatively low.",1
5942,"The prevalence of industry jargon terms like ‘agrotech’, ‘insurtech’ and ‘fintech’ speak to this intersection between specific industries and the super-industry that software and technology is fast becoming.",1
8374,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION",0
5545,Often crowdfunding platforms can be less effective with businesses that aren’t as universally appealing or consumer-facing,1
2846,"We launch with our consumer App called Medsii (Medicines information for me), which will collect 1st party data on users in a GDPR compliant way (side effects, locations, medicines/conditions liked, followed, shared, saved) and which already has its own data, e.g",1
289,"We look for people who are creative and open to learn as much as we are, and contribute to what we are trying to achieve, to make people’s lives easier, and can work on their own initiative.",1
4096,According to co-founder Thomas J,1
6996,"However, this brings its own dangers.",1
7785,"She was supposed to be but couldn't make it, she's still in town though",0
10105,"I had been hoping i would not have to send you this message. My rent is due and i dont have enough for it. My reserves are completely gone. Its a loan i need and was hoping you could her. The balance is  &lt;#&gt; . Is there a way i could get that from you, till mid march when i hope to pay back.",0
6140,Another option for established businesses to support cash flow is a working capital overdraft with the bank,1
9532,Yup ok...,0
11312,"I wasn't well babe, i have swollen glands at my throat ... What did you end up doing ?",0
11591,Right it wasnt you who phoned it was someone with a number like yours!,0
9388,"wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine \KUDI\""yarasu dhina vaazhthukkal. ..""",0
9411,"Come to me right now, Ahmad",0
4961,"Improvise! We understand that not all businesses can thrive at a time like this, but it’s crucial that start ups come up with coping strategies",1
12133,"Hmm... Dunno leh, mayb a bag 4 goigng out dat is not too small. Or jus anything except perfume, smth dat i can keep.",0
1480,"Spotting a gap in the market, he started Get Groomed which allows people to book a barber to their home or office",1
8751,* Was thinking about chuckin ur red green n black trainners 2 save carryin them bac on train,0
2195,Elon Musk becoming the richest man in the world was a watershed moment in this regard,1
1169,Have you had to pivot your business and if so?,1
5665,"Fast growth worldwide markets include India, Canada and Australia.",1
4564,"It is also lower financial risk than having one single permanent job, as losing one client doesn’t mean you have no income.",1
3335,"In this week’s #SixtySecondStartup, we spoke to Will Ross who is the Founder of Tendo, a skills passport for frontline workers",1
5167,"Last time I tried to tap bank funding the loan assessor didn’t even understand the economics of a SaaS business, so I won’t be wasting time on applying for now.",1
2375,See How to close your funding round before the end of 2020 if you missed it or need a reminder…,1
12217,Well thats nice. Too bad i cant eat it,0
5647,"Moving on to unicorns, meaning private companies with a value of over $1 billion, China is in the lead with 149 unicorns, compared to 146 in the USA",1
7642,Probably gonna swing by in a wee bit,0
8493,How are you with moneY...as in to you...money aint a thing....how are you sha!,0
610,Tell us about Occuity?,1
2478,Why did you choose to use Angel Investment Network?,1
10360,You only hate me. You can call any but you didnt accept even a single call of mine. Or even you messaged,0
4338,You should both as founders and investors feel like you have the permission from the outset to discuss and delineate which approach is being taken,1
5309,"Angels invest when they believe in the idea they hear, in the founders’ ability to realise its vision and in the market opportunity",1
1386,"In this blog series we are speaking to founders of startups to find out how coronavirus has effected their business, how they have adapted, and any tips they have to help others cope with these challenges",1
3269,Here she shares some key learnings.,1
2545,"Change away from the traditional lenses that model and evaluate Product Market Fit towards a new phase where different tools, frameworks and assessment criteria are at play.",1
6349,But what has been most encouraging is its reception throughout the entrepreneurial and investment communities,1
11992,\HEY KATE,0
8042,Easy ah?sen got selected means its good..,0
12016,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs,0
10243,Squeeeeeze!! This is christmas hug.. If u lik my frndshp den hug me back.. If u get 3 u r cute:) 6 u r luvd:* 9 u r so lucky;) None? People hate u:,0
7428,7 at esplanade.. Do Ì_ mind giving me a lift cos i got no car today..,0
5289,Get started today and view pitches from a huge range of entrepreneurs around the world.,1
5328,Our interview with Greg:,1
7124,ÌÏ predict wat time Ì_'ll finish buying?,0
11583,Noooooooo please. Last thing I need is stress. For once in your life be fair.,0
9539,Hmmm:)how many players selected?,0
4702,"Rav Roberts, CEO, Pharma Sentinel",1
2831,"Pharmasentinel.com is a pioneering B2C2B healthtech, leveraging AI to provide our users with trusted, timely and tailored medicines and medical conditions (mental health, diabetes, skin conditions) news, information, alerts and related content such as video podcasts, live streaming.",1
2920,This is how One Year No Beer was born.,1
9206,"URGENT! Your mobile No 07xxxxxxxxx won a å£2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP! BOX97N7QP, 150PPM",0
4631,Checking out the record of the investor is a good way of doing this,1
8030,Can not use foreign stamps in this country. Good lecture .,0
10538,What happen dear. Why you silent. I am tensed,0
7689,<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,0
8094,Now only i reached home. . . I am very tired now. . I will come tomorro,0
2996,We understand that most investors will be a lot more cautious in their decisions at this current moment,1
845,"Like with PROJECTION above, founders with a deeper journey and understanding will be more comfortable baking in these two new functions into their plans and pitches",1
1015,"Our Chief Scientific Officer Nasir (a Co-Founder) used to work for the UK’s medicines regulator (the Department of Health) and noticed a big gap in the market for timely medicines information, e.g",1
6131,________________________________________,1
8102,Black shirt n blue jeans... I thk i c Ì_...,0
188,What attracted investors to your company?,1
4406,The most important pitfall to look for is the opportunity for a single point of failure,1
890,"Portfolio professionals tend to earn more than double the rate per hour or per day vs permanent employees doing the same work, so if you can stitch together a large enough portfolio of work, you can earn significantly more, while also paying less tax",1
7112,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,0
1348,We are a social media services company to help startups be more active on social media channels with a low cost and flexible solution.,1
81,"The courses, while cost-effective for students, are profitable to us as we grow",1
2230,The long amount of time it took to draw a coffeepot full of water from a standard water dispenser to make coffee every morning became more frustrating until it was intolerable.,1
6545,I’d love to hear from you…,1
10841,"chile, please! It's only a  &lt;DECIMAL&gt;  hour drive for me. I come down all the time and will be subletting feb-april for audition season.",0
12221,"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)",0
5594,"“When we first set up, no one looked for investment online",1
8111,"Awesome, think we can get an 8th at usf some time tonight?",0
2164,2) To accelerate the launch of our Business SaaS data product.,1
8727,I went to project centre,0
10111,Just haven't decided where yet eh ?,0
5200,"Does being a woman impact what you want to be able to achieve as an entrepreneur? The view that some expressed was that you are at a disadvantage because you might not be taken as seriously, with a lack of investors willing to back you",1
1091,"That’s where two worlds collided, partying and being successful, and the more I partied the more successful I was.",1
10505,Nite...,0
7078,Does not operate after  &lt;#&gt;  or what,0
5028,Maybe being a bit too conscientious and trademarking our name quite early on in the overall process to then re-brand and change our name! ,1
9945,make that 3! 4 fucks sake?! x,0
6533,The Future of Podcasting – The Interactive Experience with Entale,1
7047,"Fair enough, anything going on?",0
11166,Are you at work right now ?,0
6382,"However, it has become increasingly apparent that the quality of investments available on mainstream crowdfunding is still far below the level of deal flow available to professional investors.",1
2544,This shift essentially means the way certain angel investors are starting to evaluate early stage founders is beginning to change,1
10848,U in town alone?,0
11947,"Hi this is Amy, we will be sending you a free phone number in a couple of days, which will give you an access to all the adult parties...",0
1597,"Whilst social media advertising remains a strong channel for us, we are now building our brand across a range of channels – from social, SEM and content creators to large partnerships",1
7466,They don't put that stuff on the roads to keep it from getting slippery over there?,0
8511,Oops sorry. Just to check that you don't mind picking me up tomo at half eight from station. Would that be ok?,0
2247,"We’ll then use our highly trained and integrated manual manufacturing teams to build and operate the assembly line for our next ingenious product design, of which I have many, and the entire cycle should repeat about every three years.",1
4510,Image © Propelia Ltd 2020,1
9833,U sick still can go shopping?,0
3952,We looked at the current price comparison incumbents as well as Amazon and Google and were staggered that no-one was able to aggregate information that means we would see all of our buying options on one tab,1
5188,"* Look after your mental health: the meditation app, Calm, is offering free mediation videos.",1
4617,It is also helped that many investors are dog lovers,1
7186,"Haha awesome, be there in a minute",0
2922,"In our first year, when we set up the free challenge and promoted it via social media, we got over 20,000 members",1
1096,I grew my oil broking business and reduced costs by 30%,1
4397,What matters is how well the company is able to explain the relationship and access of the resource and how these resources are prioritised.,1
5842,"I was only too aware, from my experiences at Grub Club, of the challenges entrepreneurs face in raising funds and I had always had a passion for seeing how business could be used as force for good, so I then joined Angel Investment Network (having raised money for Grub Club through them) to launch and grow their impact-focussed platform, SeedTribe.",1
2239,-Utilizing the training techniques of elite athletic teams to achieve world-class employee performance -A manufacturing process that achieves an unbeatable investment-to-production ratio by utilizing very ingenious jigs and simple machines but no complex or expensive machines.,1
12478,No probably  &lt;#&gt; %.,0
12479,Really do hope the work doesnt get stressful. Have a gr8 day.,0
5843,"I am also a board member of UCL’s Fast Forward 2030, which aims to inspire the next generation of entrepreneurs to launch businesses that address the UN’s Sustainable Development Goals (SDGs).",1
2057,"‘We explained the story of all the achievements we had made until then, which in hindsight was extraordinary fast",1
11944,"Anyway I don't think I can secure anything up here, lemme know if you want me to drive down south and chill",0
1350,We were frustrated with the types of social media agencies out there not catering for startups,1
3359,What we look for when recruiting: ,1
5275,"By bringing them online, visibility of supply provides a major step forwards",1
5752,"While your investors may also be customers, your proposition to them should not be the same",1
4294,"In his second guest post for Angel Investment Network, Dan Simmons, CEO of Propelia, explains ‘How understanding the shift from Product Market Fit to Founder Market Fit in the pre-seed space can now help influence your early stage thinking and planning’:",1
1278,We are primarily a D2C fashion brand supported by wholesale partnerships.,1
9782,Well at this right I'm gonna have to get up and check today's steam sales/pee so text me when you want me to come get you,0
8697,Hai priya are you right. What doctor said pa. Where are you.,0
7995,Change again... It's e one next to escalator...,0
3106,"Has Covid-19 had any impact on your fundraising plans? And if so, how are you adapting? ",1
1144,"The seed-funding raise took just seven weeks on the platform, with the original £400k target notably achieved within 4 days",1
1457,However everybody’s experiences are different,1
7239,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,0
4916,"We haven’t had to pivot the business, however, we have offered a 60% discount on our annual plans to ensure that we are affordable and considerate towards businesses that we know are struggling during this period",1
8482,Ok...,0
2745,"During COVID we’ve seen different members of our community perform selfless acts, for example delivering medication to other members who were self isolating",1
5165,Unfortunately the offer for government backed loans to SMEs is less useful,1
9034,Is avatar supposed to have subtoitles,0
8698,"Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service.",0
3652,The South East is second in the list with the North West number three,1
1043,"I guess my biggest was in my  first startup in San Francisco: We had a great product but I didn’t think about our go-to-market and distribution strategy, i.e",1
9467,Is there coming friday is leave for pongal?do you get any news from your work place.,0
6676,We recently conducted global research and discovered that an astonishing 33% of people are open to trying an entirely new form of addressing.,1
1516,"Will started Tendo to make frontline work more secure for employees and to make it easier for companies to hire, retain and train their workforce.",1
2991,Have you been engaged in a fundraise during this time?,1
2494,"Despite the challenging conditions it has seen impressive revenues year on year, despite longer funding rounds in today’s climate",1
3987,"One of my proudest achievements in our business is that we have been able to surround ourselves with colleagues, advisors and investors that complete our knowledge gaps",1
23,"This revelation came from Rav Robert from PharmaSentinel, the healthcare startup leveraging AI to provide personalised medicines data intelligence",1
4244,Encouragingly for the businesses on the platform there is also more investor activity than ever with a record number of connections made despite the unfortunate circumstances this year.,1
